Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_denominador,20_24_denominador,25_29_denominador,30_34_denominador,35_39_denominador,40_44_denominador,45_49_denominador,50_54_denominador,55_59_denominador,60_64_denominador,65_mas_denominador,total_15_mas_denominador,15_19_cobertura_pct,20_24_cobertura_pct,25_29_cobertura_pct,30_34_cobertura_pct,35_39_cobertura_pct,40_44_cobertura_pct,45_49_cobertura_pct,50_54_cobertura_pct,55_59_cobertura_pct,60_64_cobertura_pct,65_mas_cobertura_pct,total_15_mas_cobertura_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,18,1084,1199,1209,1019,943,843,807,712,587,9170,17591,7342,8254,9130,9014,7551,6993,6785,7186,7848,6941,20962,98006,0.2451648052301825,13.13302641143688,13.132530120481928,13.412469491901485,13.494901337571182,13.484913484913486,12.424465733235078,11.230169774561647,9.072375127421,8.456994669356002,43.74582577998283,17.94890108768851
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,20,970,1210,1115,884,802,709,766,667,417,4908,12468,4847,5487,5963,5847,4751,4222,4590,5052,4845,3687,9968,59259,0.4126263668248401,17.678148350646982,20.291799429817207,19.069608346160425,18.606609134918966,18.995736617716723,15.446623093681916,15.162311955661123,13.766769865841072,11.310008136696501,49.23756019261637,21.039842049308966
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,40,252,443,503,528,448,424,331,259,223,3696,7154,4427,4937,6911,7649,6698,5691,4876,4387,4333,4055,11585,65549,0.903546419697312,5.104314360947944,6.410070901461438,6.576023009543731,7.8829501343684685,7.872078720787208,8.695652173913043,7.545019375427399,5.977382875605816,5.499383477188656,31.903323262839876,10.913972753207524
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,14,1563,1663,1648,1462,1321,1132,1118,870,672,5975,17438,10998,12135,12813,12965,11017,10010,9838,10280,9829,8269,14547,122701,0.12729587197672304,12.880098887515452,12.979005697338641,12.711145391438489,13.270400290460199,13.196803196803197,11.506403740597683,10.875486381322958,8.851358225658764,8.126738420607087,41.073760912903005,14.211783115052038
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,72,1072,1212,1222,1157,1050,916,886,683,620,8546,17436,7504,8574,10036,10181,8920,8275,7937,7501,7652,6866,18943,102389,0.9594882729211088,12.502915791929087,12.076524511757672,12.002750220999902,12.97085201793722,12.688821752265861,11.54088446516316,11.81175843220904,8.925771040250915,9.030002912904166,45.11429023913847,17.029173055699342
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,198,1345,1616,1760,1626,1501,1286,1078,775,485,4355,16025,7791,8345,9336,9817,8357,7835,7183,6933,6234,5062,9919,86812,2.5413939160569887,16.117435590173756,17.309340188517567,17.92808393602934,19.456742850305133,19.1576260370134,17.903382987609636,15.548824462714553,12.43182547321142,9.581193204267088,43.90563564875492,18.45942957194858
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,133,886,1061,1171,936,803,627,461,352,255,2714,9399,5731,5702,6159,6433,5362,4931,4463,4306,4080,3405,6598,57170,2.3207119176409003,15.538407576289021,17.226822536125994,18.203015700295353,17.456173069750093,16.284729263841005,14.048846067667489,10.705991639572689,8.627450980392156,7.488986784140969,41.13367687177933,16.440440790624454
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,21,67,86,98,63,91,79,51,48,34,349,987,991,1139,1187,1127,930,829,869,882,995,842,1876,11667,2.119071644803229,5.88235294117647,7.245155855096883,8.695652173913043,6.774193548387098,10.97708082026538,9.090909090909092,5.782312925170068,4.824120603015075,4.038004750593824,18.603411513859275,8.45975829262021
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,94,943,1040,1021,808,698,631,633,537,347,5373,12125,7993,9155,10726,10523,8634,8100,8331,8693,8270,6677,16617,103719,1.1760290253972228,10.300382304751501,9.696065634905835,9.70255630523615,9.35835070650915,8.617283950617285,7.5741207538110675,7.281720924882089,6.49334945586457,5.196944735659727,32.33435638201841,11.690239975317926
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,209,1469,1612,1665,1436,1234,1222,1052,887,672,7108,18566,7803,9003,10198,10474,8593,8179,8793,8935,8742,7343,20208,108271,2.678457003716519,16.316783294457405,15.807020984506767,15.896505632995991,16.71127662050506,15.087418999877736,13.897418401000797,11.773922775601568,10.14641958361931,9.151572926596758,35.17418844022169,17.147712683913515
