Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,nivel_geografico,sexo,20_64_numerador,20_64_poblacion_inscrita_validada,gestantes_20_54,20_64_denominador,20_64_cobertura_pct
2023,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,comuna,Hombre,1470,38235.0,0.0,38235.0,3.844644958807376
2023,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,comuna,Mujer,4935,40872.0,583.0,40289.0,12.249000968006156
2023,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,comuna,Hombre,3057,36678.0,0.0,36678.0,8.334696548339604
2023,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,comuna,Mujer,7729,43582.0,426.0,43156.0,17.909444804893873
2023,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,comuna,Hombre,5243,59842.0,0.0,59842.0,8.761405033254237
2023,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,comuna,Mujer,11220,69705.0,760.0,68945.0,16.273841467836682
2023,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,comuna,Hombre,1457,25967.0,0.0,25967.0,5.610967766780915
2023,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,comuna,Mujer,4275,31425.0,636.0,30789.0,13.884828997369189
2023,10,Servicio de Salud Metropolitano Occidente,13128,Renca,comuna,Hombre,2556,37621.0,0.0,37621.0,6.794077775710375
2023,10,Servicio de Salud Metropolitano Occidente,13128,Renca,comuna,Mujer,7032,43929.0,691.0,43238.0,16.26347194597345
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,comuna,Hombre,1971,32961.0,0.0,32961.0,5.979794302357331
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,comuna,Mujer,4498,37007.0,602.0,36405.0,12.355445680538388
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,comuna,Hombre,288,2382.0,0.0,2382.0,12.090680100755668
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,comuna,Mujer,402,2237.0,40.0,2197.0,18.29767865270824
2023,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,comuna,Hombre,89,256.0,0.0,256.0,34.765625
2023,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,comuna,Mujer,297,572.0,132.0,440.0,67.5
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,comuna,Hombre,321,4424.0,0.0,4424.0,7.255877034358046
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,comuna,Mujer,590,4753.0,58.0,4695.0,12.566560170394037
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,comuna,Hombre,413,3751.0,0.0,3751.0,11.010397227406026
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,comuna,Mujer,255,3851.0,42.0,3809.0,6.694670517196115
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,comuna,Hombre,1116,16273.0,0.0,16273.0,6.857985620352731
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,comuna,Mujer,2483,18596.0,324.0,18272.0,13.589098073555167
2023,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,comuna,Hombre,704,9941.0,0.0,9941.0,7.081782516849411
2023,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,comuna,Mujer,1277,10237.0,161.0,10076.0,12.673680031758636
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,comuna,Hombre,603,10136.0,0.0,10136.0,5.949092344119968
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,comuna,Mujer,1202,10432.0,141.0,10291.0,11.680108832960839
2023,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,comuna,Hombre,948,13915.0,0.0,13915.0,6.812791951131872
2023,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,comuna,Mujer,2695,17203.0,243.0,16960.0,15.890330188679243
