Ano,nivel_geografico,IdServicio_master,servicio_salud_master,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_denominador,20_24_denominador,25_29_denominador,30_34_denominador,35_39_denominador,40_44_denominador,45_49_denominador,50_54_denominador,55_59_denominador,60_64_denominador,65_mas_denominador,total_15_mas_denominador,15_19_cobertura_pct,20_24_cobertura_pct,25_29_cobertura_pct,30_34_cobertura_pct,35_39_cobertura_pct,40_44_cobertura_pct,45_49_cobertura_pct,50_54_cobertura_pct,55_59_cobertura_pct,60_64_cobertura_pct,65_mas_cobertura_pct,total_15_mas_cobertura_pct
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,516,7239,8490,8726,7675,6959,6016,5498,4366,3293,39713,98498,49631,54573,61535,63033,53586,48786,46541,46527,45816,39127,94398,603553,1.0396727851544396,13.264801275355945,13.797026082717153,13.843542271508575,14.322770872989214,14.264338129791335,12.92623708128317,11.816794549401424,9.529422035969967,8.416183198302962,42.06974724040764,16.31969354803969
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,2168,9605,10952,11455,9801,8780,7785,7229,6354,5073,56222,135424,70933,79468,88186,88530,74556,70111,69888,69832,71787,62439,148845,894575,3.056405340250659,12.086626063321084,12.419204862449822,12.939116683610074,13.145823273780783,12.522999244055855,11.139251373626374,10.351987627448734,8.851184754899913,8.124729736222553,37.77217911249958,15.138361791912361
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,815,5044,6134,6544,5805,5275,4716,4808,4789,4525,37417,85872,39948,43969,51671,54596,46026,40309,37020,37228,41897,40107,100639,533410,2.040152197857214,11.47171871090996,11.871262410249463,11.986226097149974,12.61243644896363,13.08640750204669,12.73905996758509,12.915010207370797,11.430412678712079,11.28231979454958,37.17942348393764,16.098685813914248
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,1371,5796,6489,6861,5942,5619,5524,5485,4993,4537,54731,107348,33854,40101,47350,49192,42595,42044,43081,44526,46037,42186,128214,559180,4.049743014119454,14.453504900127179,13.704329461457235,13.947389819482842,13.949994130766521,13.364570450004756,12.82235788398598,12.318645285900374,10.845624171861763,10.75475276157967,42.68722604395776,19.197396187274222
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,1363,12502,14251,15129,12365,10963,8671,7904,7100,6070,60361,156679,66450,76046,85134,88088,74241,68576,62877,64575,67479,63038,146797,863301,2.051166290443943,16.440049443757726,16.739493034510303,17.174870583961493,16.65521746743713,15.986642557162856,13.79041620942475,12.240030971738289,10.521791964907601,9.62911259874996,41.11868771160174,18.14882642322898
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,1384,9042,9073,9363,7729,6958,5829,5218,4788,4535,54361,118280,76367,85604,91880,90945,76692,72157,69671,71083,75998,71125,162301,943823,1.8123011248314063,10.562590533152656,9.874836743578582,10.29523338281379,10.077974234600742,9.64286209238189,8.366465243788664,7.340714376151823,6.300165793836681,6.37609841827768,33.493940271470905,12.532010768968336
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,435,8693,9709,10201,9232,7881,6817,6551,5429,4781,41716,111445,53442,56571,64764,68481,59716,53467,48184,49018,47115,42149,97972,640879,0.8139665431682945,15.366530554524402,14.991353220925205,14.896102568595667,15.459843258088284,14.739933042811455,14.14784990868338,13.364478354890041,11.522869574445506,11.343092362808132,42.57951251377945,17.389397998686178
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,3160,11483,13145,13539,11990,10660,9182,8811,7734,6688,63366,159758,73856,80748,91801,94438,81193,74368,70109,71885,72146,65907,155148,931599,4.278596187175044,14.220785654133849,14.319016132721865,14.33639001249497,14.767282893845529,14.334122203098106,13.096749347444694,12.25707727620505,10.71992903279461,10.147632269713384,40.842292520689924,17.14879470673541
2024,servicio_salud,11,Servicio de Salud Metropolitano Central,1101,7310,7837,8198,7514,6610,5478,5422,5139,5042,42838,102489,43568,45981,55233,60129,52613,45201,39225,39290,42698,43246,106505,573689,2.5270840984208593,15.89787085970292,14.188981224992306,13.634020189924994,14.281641419421057,14.623570274993916,13.965583173996176,13.799949096462205,12.035692538292192,11.658881746288674,40.22158584104032,17.86490589849204
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,1131,7282,7857,8550,7610,6877,6555,6433,5875,5609,60509,124288,35491,41102,49395,53378,46893,44524,44148,46026,46967,45119,133489,586532,3.1867233946634355,17.716899420952753,15.906468266018829,16.017835063134626,16.228434947646768,15.44560237175456,14.847784724109815,13.976882631556077,12.508782762365064,12.431569848622532,45.32882859261812,21.190318686789468
