Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,nivel_geografico,65_mas_numerador,65_mas_denominador,65_mas_cobertura_pct
2023,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,comuna,5373,16617.0,32.33435638201841
2023,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,comuna,7108,20208.0,35.17418844022169
2023,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,comuna,10434,25987.0,40.15084465309578
2023,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,comuna,7280,14473.0,50.30055966282042
2023,10,Servicio de Salud Metropolitano Occidente,13128,Renca,comuna,6523,17360.0,37.574884792626726
2023,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,comuna,4389,16124.0,27.220292731332172
2023,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,comuna,561,970.0,57.83505154639176
2023,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,comuna,604,289.0,208.99653979238755
2023,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,comuna,1074,2120.0,50.66037735849057
2023,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,comuna,392,1781.0,22.01010668163953
2023,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,comuna,2623,7489.0,35.02470289758312
2023,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,comuna,1370,4009.0,34.17311050137191
2023,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,comuna,1664,4311.0,38.59893296218975
2023,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,comuna,2759,6401.0,43.1026402124668
2023,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,comuna,4068,10706.0,37.997384644124786
2023,11,Servicio de Salud Metropolitano Central,13101,Santiago,comuna,11628,34066.0,34.13374038630893
2023,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,comuna,2669,8064.0,33.09771825396825
2023,11,Servicio de Salud Metropolitano Central,13106,Estación Central,comuna,3939,11597.0,33.96568077951194
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,comuna,19181,46906.0,40.89242314416066
2023,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,comuna,3861,8921.0,43.27990135635019
2023,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,comuna,8371,21564.0,38.81932851048043
2023,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,comuna,2441,5643.0,43.25713273081694
2023,12,Servicio de Salud Metropolitano Oriente,13118,Macul,comuna,8709,20175.0,43.16728624535316
2023,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,comuna,7737,20688.0,37.398491879350345
2023,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,comuna,14132,28733.0,49.18386524205617
2023,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,comuna,7235,17382.0,41.623518582441605
2023,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,comuna,2245,5102.0,44.00235201881615
2023,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,comuna,10713,23161.0,46.25447951297439
2023,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,comuna,5007,12344.0,40.56221646143875
2023,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,comuna,3729,13204.0,28.241441987276584
2023,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,comuna,7634,17430.0,43.798049340218014
2023,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,comuna,6340,14850.0,42.69360269360269
2023,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,comuna,6359,15103.0,42.1042177050917
2023,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,comuna,10981,29598.0,37.100479762146094
2023,13,Servicio de Salud Metropolitano Sur,13402,Buin,comuna,5088,10494.0,48.484848484848484
2023,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,comuna,1140,2455.0,46.435845213849284
2023,13,Servicio de Salud Metropolitano Sur,13404,Paine,comuna,3370,8154.0,41.329408879077754
2023,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,comuna,18806,56317.0,33.39311397979296
2023,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,comuna,5820,19586.0,29.715102624323496
2023,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,comuna,7319,19413.0,37.70154020501726
2023,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,comuna,4223,12510.0,33.75699440447642
