Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,20_64,20_54,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,109300,13108,Independencia,Centro de Salud Familiar Agustín Cruz Melo,Servicio de Salud Metropolitano Norte,<NA>,3025,3313,4966,5596,4968,4122,3495,2998,3035,2658,7231,45407,35151,29458,09-300,109300,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,109301,13127,Recoleta,Centro de Salud Familiar Recoleta,Servicio de Salud Metropolitano Norte,<NA>,2144,2556,3171,3338,3137,2889,2553,2227,2150,1919,5072,31156,23940,19871,09-301,109301,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109302,13104,Conchalí,Centro de Salud Familiar Lucas Sierra,Servicio de Salud Metropolitano Norte,<NA>,1855,1997,2290,2351,2090,1858,1766,1772,1875,1801,5118,24773,17800,14124,09-302,109302,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109303,13127,Recoleta,Centro de Salud Familiar Quinta Bella,Servicio de Salud Metropolitano Norte,<NA>,1654,1933,2437,2634,2240,1872,1705,1608,1622,1541,4262,23508,17592,14429,09-303,109303,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109304,13127,Recoleta,Centro de Salud Familiar Valdivieso,Servicio de Salud Metropolitano Norte,<NA>,628,640,760,804,689,620,652,591,664,626,1693,8367,6046,4756,09-304,109304,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109305,13107,Huechuraba,Centro de Salud Familiar  La Pincoya,Servicio de Salud Metropolitano Norte,<NA>,1687,1887,2068,1996,1609,1427,1557,1872,2020,1500,3719,21342,15936,12416,09-305,109305,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,109307,13127,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Servicio de Salud Metropolitano Norte,<NA>,1414,1671,1824,1682,1401,1425,1449,1517,1793,1499,3703,19378,14261,10969,09-307,109307,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109308,13104,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,Servicio de Salud Metropolitano Norte,<NA>,1894,2188,2468,2311,1813,1804,1674,1730,1984,1789,4942,24597,17761,13988,09-308,109308,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109309,13104,Conchalí,Centro de Salud Familiar José Symon Ojeda,Servicio de Salud Metropolitano Norte,<NA>,1635,1966,2081,2061,1689,1576,1705,1862,1926,1443,5511,23455,16309,12940,09-309,109309,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109310,13301,Colina,Centro de Salud Familiar Colina,Servicio de Salud Metropolitano Norte,<NA>,3766,4114,4873,5348,4660,4302,3722,3554,3167,2756,5870,46132,36496,30573,09-310,109310,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109311,13302,Lampa,Centro de Salud Familiar  José Bauza Frau,Servicio de Salud Metropolitano Norte,<NA>,3283,3198,3416,3593,3069,2799,2545,2343,2123,1706,3180,31255,24792,20963,09-311,109311,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Bauza Frau,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109312,13302,Lampa,Centro de Salud Familiar Batuco,Servicio de Salud Metropolitano Norte,<NA>,1100,1079,1217,1270,1007,958,875,874,865,755,1547,11547,8900,7280,09-312,109312,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Batuco,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109313,13125,Quilicura,Centro de Salud Familiar  Irene Frei de Cid,Servicio de Salud Metropolitano Norte,<NA>,3072,3284,3687,4073,3526,3018,2488,2745,2672,2194,3167,33926,27687,22821,09-313,109313,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109314,13104,Conchalí,Centro de Salud Familiar Juanita Aguirre,Servicio de Salud Metropolitano Norte,<NA>,1779,1879,2023,2028,1713,1572,1451,1619,1880,1753,5014,22711,15918,12285,09-314,109314,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109315,13125,Quilicura,Centro de Salud Familiar  Manuel Bustos de Quilicura,Servicio de Salud Metropolitano Norte,<NA>,3017,3382,3570,3427,2977,2734,2881,2888,2835,2510,5190,35411,27204,21859,09-315,109315,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109316,13301,Colina,Centro de Salud Familiar Esmeralda,Servicio de Salud Metropolitano Norte,<NA>,3946,4150,4362,4372,3609,3445,3392,3327,3024,2269,3988,39884,31950,26657,09-316,109316,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Esmeralda,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109317,13107,Huechuraba,Centro de Salud Familiar El Barrero,Servicio de Salud Metropolitano Norte,<NA>,815,926,1025,1155,1010,914,1063,998,752,503,1422,10583,8346,7091,09-317,109317,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,109320,13303,Tiltil,Centro de Salud Familiar Huertos Familiares,Servicio de Salud Metropolitano Norte,<NA>,815,923,1000,924,732,683,723,729,840,695,1565,9629,7249,5714,09-320,109320,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huertos Familiares,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109321,13108,Independencia,Centro de Salud Familiar Juan Antonio Ríos,Servicio de Salud Metropolitano Norte,<NA>,1400,1624,1943,2049,1728,1569,1379,1386,1298,1395,4349,20120,14371,11678,09-321,109321,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,109323,13107,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens (Huechuraba),Servicio de Salud Metropolitano Norte,<NA>,1568,1721,1849,1684,1189,1036,1152,1348,1080,695,2269,15591,11754,9979,09-323,109323,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,109324,13125,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens (Quilicura),Servicio de Salud Metropolitano Norte,<NA>,4106,4600,4616,4346,3608,3464,3792,3828,3379,2564,4068,42371,34197,28254,09-324,109324,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109390,13127,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),Servicio de Salud Metropolitano Norte,<NA>,1664,1774,1844,1723,1453,1469,1578,1558,1423,1281,4213,19980,14103,11399,09-390,109390,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Otra Institución,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109407,13302,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,Servicio de Salud Metropolitano Norte,<NA>,514,580,601,630,582,532,452,521,502,449,957,6320,4849,3898,09-407,109407,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Juan Pablo II de Lampa,Municipal,Primario,13302,Lampa,Cerrado,True,False
2023,109410,13303,Tiltil,Posta de Salud Rural La Capilla de Caleu,Servicio de Salud Metropolitano Norte,<NA>,22,21,21,21,24,16,21,33,24,34,78,315,215,157,09-410,109410,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109412,13303,Tiltil,Posta de Salud Rural Montenegro,Servicio de Salud Metropolitano Norte,<NA>,31,30,36,37,34,21,26,23,23,27,61,349,257,207,09-412,109412,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109413,13303,Tiltil,Posta de Salud Rural Rungue,Servicio de Salud Metropolitano Norte,<NA>,23,29,30,40,26,16,22,23,30,19,38,296,235,186,09-413,109413,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109414,13303,Tiltil,Posta de Salud Rural Polpaico,Servicio de Salud Metropolitano Norte,<NA>,100,136,100,105,114,93,77,74,78,67,134,1078,844,699,09-414,109414,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109416,13301,Colina,Posta de Salud Rural Colorado,Servicio de Salud Metropolitano Norte,<NA>,0,0,2,3,1,1,1,2,2,1,0,13,13,10,09-416,109416,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109417,13301,Colina,Posta de Salud Rural Los Ingleses,Servicio de Salud Metropolitano Norte,<NA>,2,3,10,6,4,3,3,2,2,4,6,45,37,31,09-417,109417,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109418,13301,Colina,Posta de Salud Rural Las Canteras,Servicio de Salud Metropolitano Norte,<NA>,5,3,9,1,4,5,2,5,5,2,1,42,36,29,09-418,109418,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109419,13301,Colina,Posta de Salud Rural Santa Marta de Liray,Servicio de Salud Metropolitano Norte,<NA>,1,6,4,6,5,5,5,2,1,4,5,44,38,33,09-419,109419,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109420,13301,Colina,Posta de Salud Rural Chacabuco (Colina),Servicio de Salud Metropolitano Norte,<NA>,1,1,2,5,2,3,3,2,0,2,4,25,20,18,09-420,109420,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109709,13104,Conchalí,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Servicio de Salud Metropolitano Norte,<NA>,87,121,136,134,153,98,90,99,78,72,198,1266,981,831,09-709,109709,109309,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109711,13302,Lampa,Centro Comunitario de Salud Familiar Sol de Septiembre,Servicio de Salud Metropolitano Norte,<NA>,351,316,370,354,286,257,273,263,249,207,420,3346,2575,2119,09-711,109711,109311,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Sol de Septiembre,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109712,13302,Lampa,Centro Comunitario de Salud Familiar Batuco,Servicio de Salud Metropolitano Norte,<NA>,483,529,555,586,418,385,318,305,341,288,494,4702,3725,3096,09-712,109712,109312,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
