Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19_Hombre,15_19_Mujer,20_24_Hombre,20_24_Mujer,20_54_Hombre,20_54_Mujer,20_64_Hombre,20_64_Mujer,25_29_Hombre,25_29_Mujer,30_34_Hombre,30_34_Mujer,35_39_Hombre,35_39_Mujer,40_44_Hombre,40_44_Mujer,45_49_Hombre,45_49_Mujer,50_54_Hombre,50_54_Mujer,55_59_Hombre,55_59_Mujer,60_64_Hombre,60_64_Mujer,65_mas_Hombre,65_mas_Mujer,total_15_mas_Hombre,total_15_mas_Mujer,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,109300,13108,Independencia,Centro de Salud Familiar Agustín Cruz Melo,Servicio de Salud Metropolitano Norte,<NA>,1487.0,1537.0,1371.0,1941.0,10598.0,18851.0,12772.0,22369.0,1561.0,3401.0,1936.0,3660.0,1769.0,3197.0,1554.0,2567.0,1300.0,2194.0,1107.0,1891.0,1145.0,1890.0,1029.0,1628.0,2638.0,4593.0,16897.0,28499.0,09-300,109300,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,109301,13127,Recoleta,Centro de Salud Familiar Recoleta,Servicio de Salud Metropolitano Norte,<NA>,1073.0,1071.0,1138.0,1417.0,8008.0,11861.0,9710.0,14228.0,1234.0,1937.0,1296.0,2042.0,1248.0,1888.0,1173.0,1716.0,1005.0,1548.0,914.0,1313.0,904.0,1246.0,798.0,1121.0,1939.0,3133.0,12722.0,18432.0,09-301,109301,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109302,13104,Conchalí,Centro de Salud Familiar Lucas Sierra,Servicio de Salud Metropolitano Norte,<NA>,969.0,886.0,917.0,1080.0,6187.0,7937.0,7841.0,9959.0,972.0,1318.0,1004.0,1347.0,907.0,1183.0,794.0,1064.0,752.0,1014.0,841.0,931.0,841.0,1034.0,813.0,988.0,2197.0,2921.0,11007.0,13766.0,09-302,109302,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109303,13127,Recoleta,Centro de Salud Familiar Quinta Bella,Servicio de Salud Metropolitano Norte,<NA>,814.0,840.0,862.0,1071.0,6473.0,7955.0,7911.0,9680.0,1099.0,1338.0,1169.0,1464.0,977.0,1263.0,838.0,1034.0,773.0,932.0,755.0,853.0,761.0,861.0,677.0,864.0,1773.0,2489.0,10498.0,13009.0,09-303,109303,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109304,13127,Recoleta,Centro de Salud Familiar Valdivieso,Servicio de Salud Metropolitano Norte,<NA>,304.0,324.0,334.0,306.0,2263.0,2493.0,2864.0,3182.0,345.0,415.0,357.0,447.0,336.0,353.0,295.0,325.0,301.0,351.0,295.0,296.0,312.0,352.0,289.0,337.0,713.0,980.0,3881.0,4486.0,09-304,109304,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109305,13107,Huechuraba,Centro de Salud Familiar  La Pincoya,Servicio de Salud Metropolitano Norte,<NA>,829.0,858.0,879.0,1008.0,5831.0,6585.0,7544.0,8392.0,959.0,1109.0,964.0,1032.0,735.0,874.0,666.0,761.0,734.0,823.0,894.0,978.0,983.0,1037.0,730.0,770.0,1562.0,2157.0,9935.0,11407.0,09-305,109305,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,109307,13127,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Servicio de Salud Metropolitano Norte,<NA>,756.0,658.0,873.0,798.0,5172.0,5797.0,6749.0,7512.0,869.0,955.0,764.0,918.0,650.0,751.0,643.0,782.0,670.0,779.0,703.0,814.0,841.0,952.0,736.0,763.0,1528.0,2175.0,9033.0,10345.0,09-307,109307,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,109308,13104,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,Servicio de Salud Metropolitano Norte,<NA>,966.0,928.0,1128.0,1060.0,6624.0,7364.0,8359.0,9402.0,1230.0,1238.0,1046.0,1265.0,825.0,988.0,841.0,963.0,779.0,895.0,775.0,955.0,896.0,1088.0,839.0,950.0,2054.0,2888.0,11379.0,13218.0,09-308,109308,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109309,13104,Conchalí,Centro de Salud Familiar José Symon Ojeda,Servicio de Salud Metropolitano Norte,<NA>,816.0,819.0,983.0,983.0,6075.0,6865.0,7661.0,8648.0,1005.0,1076.0,969.0,1092.0,746.0,943.0,693.0,883.0,812.0,893.0,867.0,995.0,914.0,1012.0,672.0,771.0,2315.0,3196.0,10792.0,12663.0,09-309,109309,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109310,13301,Colina,Centro de Salud Familiar Colina,Servicio de Salud Metropolitano Norte,<NA>,1876.0,1890.0,2110.0,2003.0,16660.0,13912.0,19662.0,16833.0,2604.0,2269.0,2989.0,2359.0,2624.0,2036.0,2413.0,1889.0,2044.0,1678.0,1876.0,1678.0,1618.0,1549.0,1384.0,1372.0,2802.0,3068.0,24340.0,21791.0,09-310,109310,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
