Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,categoria_estado_nutricional,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_distribucion_pct,20_24_distribucion_pct,25_29_distribucion_pct,30_34_distribucion_pct,35_39_distribucion_pct,40_44_distribucion_pct,45_49_distribucion_pct,50_54_distribucion_pct,55_59_distribucion_pct,60_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,114,71,1,1,1,2,0,1,3,0,1,33,2291.0,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,571.0,Hombre,5.6618819776714515,33.33333333333333,2.0408163265306123,1.9230769230769231,3.125,0.0,1.5384615384615385,5.172413793103448,0.0,1.639344262295082,5.779334500875657,4.975993016150153
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Normal,826,467,1,18,16,18,15,11,10,7,22,241,2291.0,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,571.0,Hombre,37.240829346092504,33.33333333333333,36.734693877551024,30.76923076923077,28.125,25.423728813559322,16.923076923076923,17.24137931034483,12.727272727272727,36.0655737704918,42.20665499124343,36.05412483631602
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,543,282,1,13,17,19,22,27,15,25,12,110,2291.0,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,571.0,Hombre,22.48803827751196,33.33333333333333,26.53061224489796,32.69230769230769,29.6875,37.28813559322034,41.53846153846154,25.862068965517242,45.45454545454545,19.672131147540984,19.264448336252187,23.70144041903099
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,808,434,0,17,18,25,22,26,30,23,26,187,2291.0,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,571.0,Hombre,34.609250398724086,0.0,34.69387755102041,34.61538461538461,39.0625,37.28813559322034,40.0,51.724137931034484,41.81818181818181,42.62295081967213,32.749562171628725,35.268441728502836
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,149,89,0,7,0,1,1,1,0,0,0,50,2361.0,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,587.0,Hombre,7.02446724546172,,9.210526315789473,0.0,1.4492753623188406,1.5384615384615385,1.4925373134328357,0.0,0.0,0.0,8.517887563884157,6.310885218127912
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Normal,897,491,0,41,23,16,16,13,9,20,15,253,2361.0,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,587.0,Hombre,38.752959747434886,,53.94736842105263,32.857142857142854,23.18840579710145,24.615384615384617,19.402985074626866,19.148936170212767,33.89830508474576,27.77777777777778,43.100511073253834,37.99237611181703
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,537,275,0,14,18,28,27,25,16,17,9,108,2361.0,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,587.0,Hombre,21.704814522494082,,18.421052631578945,25.71428571428571,40.57971014492754,41.53846153846154,37.3134328358209,34.04255319148936,28.8135593220339,16.666666666666664,18.39863713798978,22.744599745870396
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,778,412,0,14,29,24,21,28,22,22,30,176,2361.0,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,587.0,Hombre,32.51775848460932,,18.421052631578945,41.42857142857143,34.78260869565217,32.30769230769231,41.7910447761194,46.808510638297875,37.28813559322034,55.55555555555556,29.982964224872234,32.952138924184666
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,84,54,0,2,0,1,0,0,0,0,1,26,2207.0,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,483.0,Hombre,4.354838709677419,0.0,3.1746031746031744,0.0,1.2048192771084338,0.0,0.0,0.0,0.0,1.7241379310344827,5.383022774327122,3.8060715903942
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Normal,704,421,0,23,18,19,5,13,7,12,13,173,2207.0,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,483.0,Hombre,33.95161290322581,0.0,36.507936507936506,33.33333333333333,22.89156626506024,10.204081632653061,24.074074074074073,12.962962962962962,17.647058823529413,22.413793103448278,35.81780538302277,31.898504757589485
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,643,343,1,20,19,32,29,23,18,20,19,119,2207.0,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,483.0,Hombre,27.661290322580644,100.0,31.746031746031743,35.18518518518518,38.55421686746988,59.183673469387756,42.592592592592595,33.33333333333333,29.411764705882355,32.758620689655174,24.637681159420293,29.13457181694608
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,776,422,0,18,17,31,15,18,29,36,25,165,2207.0,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,483.0,Hombre,34.03225806451613,0.0,28.57142857142857,31.48148148148148,37.34939759036144,30.612244897959183,33.33333333333333,53.70370370370371,52.94117647058824,43.103448275862064,34.161490683229815,35.16085183507023
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,216,125,0,3,5,2,1,1,3,1,2,73,2930.0,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,663.0,Hombre,7.841907151819323,,2.7777777777777777,4.166666666666666,1.9607843137254901,1.1627906976744187,1.3513513513513513,5.454545454545454,1.6129032258064515,3.0303030303030303,11.010558069381599,7.3720136518771335
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Normal,1011,571,0,57,41,28,20,20,10,12,11,241,2930.0,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,663.0,Hombre,35.82183186951067,,52.77777777777778,34.166666666666664,27.450980392156865,23.25581395348837,27.027027027027028,18.181818181818183,19.35483870967742,16.666666666666664,36.3499245852187,34.50511945392491
