Ano,nivel_geografico,categoria_estado_nutricional,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_distribucion_pct,20_24_distribucion_pct,25_29_distribucion_pct,30_34_distribucion_pct,35_39_distribucion_pct,40_44_distribucion_pct,45_49_distribucion_pct,50_54_distribucion_pct,55_59_distribucion_pct,60_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,rm,Bajo peso,439,1417,844,596,429,329,315,313,356,533,30971,36544,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,5.763423920178548,2.8784431624278866,1.5237682572351912,1.026206136574951,0.8698825962649797,0.7384297706154329,0.8173114345761656,0.8660284433622931,1.0991046619326954,1.9013305746798417,10.22803454368323,5.204949145493313
2023,rm,Normal,3388,17469,15534,13367,10244,8570,7032,7027,7130,7305,115376,212445,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,44.479453853223056,35.48590233200618,28.045279748686564,23.01559971073384,20.771741995660726,19.23508551420748,18.24550478710983,19.442753583088926,22.01296696511269,26.058573823707775,38.10240914119648,30.25846708664423
2023,rm,Obesidad,1856,15418,20480,23759,20844,18833,15992,13950,11366,8630,70520,221652,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,24.36654850991204,31.319574226050218,36.974850602105114,40.908777850476945,42.26534460733621,42.27005431611079,41.49347448172077,38.597753306402524,35.09107749305341,30.785146077836835,23.288915308531895,31.569816878198438
2023,rm,Sobrepeso,1934,14924,18531,20356,17800,16822,15202,14852,13538,11565,85938,231460,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,25.39057371668636,30.316080279515724,33.456101391973135,35.04941630221426,36.09303080073808,37.7564303990663,39.44370929659324,41.09346466714626,41.79685087990121,41.25494952377555,28.380641006588398,32.96676688966402
2024,rm,Bajo peso,498,1655,914,609,446,361,294,305,350,506,36775,42713,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,5.599280413762086,2.757414195268244,1.3965498800556175,0.885766646304215,0.7353426103013916,0.6792481231301861,0.6590893805904903,0.7102934326967862,0.9234584839450147,1.4411027568922306,10.88961733099995,5.23969523332855
2024,rm,Normal,3980,21674,18195,15744,12196,10028,8212,8354,8004,8642,126730,241759,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,44.749269170227116,36.11129623458847,27.80112151817501,22.89903132908631,20.1081580162237,18.868421547782567,18.40966664424866,19.455053563111317,21.11817630141685,24.612668033720666,37.52661330680146,29.657094559367795
2024,rm,Obesidad,2213,18668,24458,28131,25680,22518,18777,16968,13794,11201,78694,261102,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,24.881942882842363,31.102965678107296,37.3706968997815,40.915437647264156,42.33990635098595,42.369277663838034,42.0942901338355,39.51560316721006,36.39481807867867,31.90077466393256,23.302448572283076,32.029941816602694
2024,rm,Sobrepeso,2203,18023,21880,24270,22330,20240,17324,17313,15753,14763,95508,269607,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,24.76950753316843,30.028323892035992,33.43163170198787,35.29976437734532,36.81659302248895,38.08305266524921,38.836953841325354,40.31904983698183,41.563547135959475,42.04545454545455,28.28132078991552,33.07326839070096
2025,rm,Bajo peso,742,1348,737,487,402,286,279,350,432,617,34032,39710,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,5.948372615039282,2.708894337044331,1.3481871730143051,0.8026502290931865,0.6788017966296309,0.5154267589388697,0.5031650706054211,0.5468322787282243,0.6414158661341332,0.7861975815186227,10.916614540730404,4.567974941131675
2025,rm,Normal,5788,17572,14851,13270,10941,9145,8139,9557,10438,13815,113835,227351,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,46.40051306717973,35.31208552710904,27.166794717008745,21.87098262847348,18.474553375434805,16.48104094579008,14.67835308120976,14.931645965158971,15.497913913676115,17.60343531390563,36.515421257758746,26.1529506633399
2025,rm,Obesidad,2822,16156,21082,26432,27160,26416,27433,30838,31352,33690,74907,318288,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,22.62305595638929,32.46654073389333,38.56510445249332,43.56396479546428,45.861335314579044,47.60668973471741,49.47429169146423,48.180610889774236,46.550162581104956,42.92868155812383,24.028292354328055,36.61373981523341
2025,rm,Sobrepeso,3122,14686,17996,20485,20719,19641,19598,23260,25129,30357,88971,283964,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,25.028058361391697,29.512479401953296,32.919913657483626,33.76240234696905,34.98530951335652,35.39684256055363,35.344190156720586,36.34091086633857,37.3105076390848,38.68168554645192,28.539671847182795,32.66533458029501
