Ano,nivel_geografico,categoria_estado_nutricional,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_distribucion_pct,20_24_distribucion_pct,25_29_distribucion_pct,30_34_distribucion_pct,35_39_distribucion_pct,40_44_distribucion_pct,45_49_distribucion_pct,50_54_distribucion_pct,55_59_distribucion_pct,60_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,rm,Bajo peso,12246,193,427,240,181,135,115,120,118,145,222,10350,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,7.640538400633412,3.3265814895606107,1.7041823475111837,1.1966150998281107,1.0129811660538757,0.9105304829770388,1.0748835542816195,1.0747791237817652,1.3996138996138996,2.25793327908869,9.497329736277047,5.519995672712849
2023,rm,Normal,76256,1229,5248,4499,3747,3014,2548,2178,2258,2366,2691,46473,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,48.653998416468724,40.885010906824554,31.946318256053395,24.771915906386354,22.615742477676896,20.174188440221695,19.509136510211395,20.56653611440022,22.83783783783784,27.369812855980474,42.6443869404834,34.37308427391728
2023,rm,Obesidad,56018,548,3218,4286,5340,4957,4844,4133,3706,3286,2542,19154,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,21.694378463974665,25.070115300716733,30.433856422637223,35.30345101150337,37.19516770465972,38.353127474267616,37.02078108204944,33.755351124874764,31.718146718146716,25.854353132628155,17.5760245187102,25.250622047528037
2023,rm,Sobrepeso,77328,556,3943,5058,5858,5221,5123,4733,4897,4563,4377,33001,221848,2526,12836,14083,15126,13327,12630,11164,10979,10360,9832,108978,Hombre,22.0110847189232,30.7182923028981,35.91564297379819,38.72801798228217,39.17610865160952,40.56215360253365,42.39519885345754,44.603333636943255,44.044401544401545,44.517900732302685,30.282258804529356,34.85629800584184
2024,rm,Bajo peso,14924,222,550,321,199,154,136,117,142,134,198,12751,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,7.283464566929133,3.0133683979837826,1.6348357524828112,0.9513792608882727,0.8053129739057678,0.7748846219588627,0.7726342204318827,0.9418319294289315,0.9570061419797172,1.424665419484818,10.321854712063077,5.326575772717539
2024,rm,Normal,92433,1473,7400,6224,5255,4125,3468,2931,3102,3007,3584,51864,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,48.326771653543304,40.543502081963624,31.69849758085052,25.12310560787876,21.570883229618783,19.759557859951,19.355477778511524,20.574384824567222,21.47550349950007,25.787883148654483,41.9835834668998,32.99057748590192
2024,rm,Obesidad,73672,637,4555,5974,7354,7133,6664,5708,5380,4654,3848,21765,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,20.898950131233597,24.956169186938418,30.425261013496307,35.15800545011235,37.30063274590807,37.969346475984274,37.693984019018686,35.68349141075811,33.23810884159406,27.687437041300907,17.61863130797999,26.294524948247556
2024,rm,Sobrepeso,99151,716,5747,7116,8109,7711,7283,6387,6453,6207,6268,37154,280180,3048,18252,19635,20917,19123,17551,15143,15077,14002,13898,123534,Hombre,23.490813648293962,31.486960333114176,36.24140565317036,38.76750968112062,40.32317105056738,41.49621104210586,42.177903982037904,42.800291835245744,44.329381516926155,45.10001439055979,30.075930513057138,35.38832179313299
2025,rm,Bajo peso,13931,344,506,266,172,154,119,96,141,194,255,11684,311570,4407,16217,17401,19634,19951,19699,19872,23520,25468,30628,114773,Hombre,7.805763557975948,3.1201825245113155,1.5286477788632837,0.876031374146888,0.7718911332765275,0.6040915782527032,0.4830917874396135,0.5994897959183674,0.7617402230249726,0.8325715031996866,10.180094621557336,4.471226369676156
2025,rm,Normal,90282,2226,6450,5398,4871,4014,3558,3241,3900,4183,5641,46800,311570,4407,16217,17401,19634,19951,19699,19872,23520,25468,30628,114773,Hombre,50.51055139550715,39.77307763458099,31.021205677834608,24.809004787613322,20.11929226605183,18.0618305497741,16.309380032206118,16.581632653061224,16.4245327469766,18.417787645291888,40.77614072996262,28.97647398658407
2025,rm,Obesidad,97676,865,4341,5540,7394,8224,8513,8881,10266,10753,11752,21147,311570,4407,16217,17401,19634,19951,19699,19872,23520,25468,30628,114773,Hombre,19.627864760608123,26.76820620336684,31.83725073271651,37.65916267698889,41.22099142900105,43.2153916442459,44.69102254428341,43.64795918367347,42.22161143395633,38.37011884550085,18.42506512855811,31.349616458580737
2025,rm,Sobrepeso,109681,972,4920,6197,7197,7559,7509,7654,9213,10338,12980,35142,311570,4407,16217,17401,19634,19951,19699,19872,23520,25468,30628,114773,Hombre,22.05582028590878,30.338533637540856,35.6128958105856,36.65580116125089,37.88782517167059,38.118686227727295,38.51650563607085,39.17091836734694,40.59211559604209,42.379522006007576,30.618699519921933,35.20268318515903
