Ano,nivel_geografico,IdServicio_master,servicio_salud_master,categoria_estado_nutricional,15_24,25_34,35_44,45_54,55_64,65_mas,total_15_mas,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_distribucion_pct,25_34_distribucion_pct,35_44_distribucion_pct,45_54_distribucion_pct,55_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Bajo peso,242,221,139,115,129,4092,4940,7755,17216,14634,11514,7659,39713,98498,3.120567375886525,1.2836895910780668,0.949842831761651,0.9987840889352093,1.6842929886408147,10.303930702792536,5.015330260512904
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Normal,2669,4249,2800,2107,1789,14795,28412,7755,17216,14634,11514,7659,39713,98498,34.41650548033527,24.68052973977695,19.13352466858002,18.29946152509988,23.3581407494451,37.25480321305366,28.845255741233323
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Obesidad,2519,6848,6469,4690,2621,9606,32757,7755,17216,14634,11514,7659,39713,98498,32.4822695035461,39.77695167286245,44.205275386087195,40.7330206704881,34.22117769943857,24.18855286681943,33.25651282259538
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Sobrepeso,2325,5898,5226,4602,3120,11220,32389,7755,17216,14634,11514,7659,39713,98498,29.980657640232106,34.258828996282524,35.71135711357113,39.96873371547681,40.73638856247552,28.252713217334374,32.88290117565839
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Bajo peso,408,281,140,114,161,5124,6228,11773,22407,18581,15014,11427,56222,135424,3.4655567824683597,1.2540723880930067,0.7534578332705452,0.7592913280937791,1.4089437297628424,9.113870015296504,4.598889413988657
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Normal,4307,5478,3354,2630,2533,20892,39194,11773,22407,18581,15014,11427,56222,135424,36.583708485517704,24.447717231222384,18.050696948495776,17.516984148128415,22.166797934716023,37.15983067126747,28.941694234404537
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Obesidad,3609,8799,8176,6278,3944,14011,44817,11773,22407,18581,15014,11427,56222,135424,30.65488830374586,39.268978444236176,44.00193746299984,41.81430664712934,34.51474577754441,24.920849489523675,33.09383861058601
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Sobrepeso,3449,7849,6911,5992,4789,16195,45185,11773,22407,18581,15014,11427,56222,135424,29.295846428268067,35.02923193644843,37.19390775523384,39.90941787664846,41.90951255797672,28.805449823912348,33.36557774102079
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Bajo peso,195,213,109,88,133,3806,4544,5859,12678,11080,9524,9314,37417,85872,3.3282130056323607,1.6800757217226692,0.9837545126353789,0.9239815203695927,1.4279579128194115,10.171847021407382,5.29159679523011
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Normal,2416,3595,2540,1927,2323,14542,27343,5859,12678,11080,9524,9314,37417,85872,41.235705751834786,28.356207603722982,22.92418772563177,20.23309533809324,24.94094910886837,38.86468717427907,31.84157816284703
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Obesidad,1535,4446,4285,3629,3032,8246,25173,5859,12678,11080,9524,9314,37417,85872,26.199010069977813,35.06862281116895,38.67328519855596,38.1037379252415,32.55314580201847,22.03811101905551,29.314561207378425
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Sobrepeso,1713,4424,4146,3880,3826,10823,28812,5859,12678,11080,9524,9314,37417,85872,29.237071172555044,34.89509386338539,37.418772563176894,40.739185216295674,41.07794717629375,28.92535478525804,33.55226383454444
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Bajo peso,331,230,127,120,164,6924,7896,7167,13350,11561,11009,9530,54731,107348,4.618389842332915,1.7228464419475655,1.0985208891964364,1.0900172586065946,1.7208814270724029,12.65096563190879,7.355516637478108
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Normal,2945,4129,3096,2547,2640,22491,37848,7167,13350,11561,11009,9530,54731,107348,41.091112041300406,30.928838951310862,26.779690338206034,23.13561631392497,27.70199370409234,41.093712886663866,35.25729403435555
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Obesidad,1870,4567,4077,3797,2736,10807,27854,7167,13350,11561,11009,9530,54731,107348,26.091809683270544,34.20973782771536,35.26511547443993,34.48996275774366,28.7093389296957,19.745665162339442,25.947386071468493
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Sobrepeso,2021,4424,4261,4545,3990,14509,33750,7167,13350,11561,11009,9530,54731,107348,28.198688433096137,33.13857677902622,36.8566732981576,41.284403669724774,41.86778593913956,26.509656319087902,31.43980325669784
