Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_19,15_19_prevalencia_pct,20_24,20_24_prevalencia_pct,25_29,25_29_prevalencia_pct,30_34,30_34_prevalencia_pct,35_39,35_39_prevalencia_pct,40_44,40_44_prevalencia_pct,45_49,45_49_prevalencia_pct,50_54,50_54_prevalencia_pct,55_59,55_59_prevalencia_pct,60_64,60_64_prevalencia_pct,65_mas,65_mas_prevalencia_pct,total_15_mas,total_15_mas_prevalencia_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,10964,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,993,9.05691353520613
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,10964,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1590,14.50200656694637
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,10964,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2831,25.82086829624225
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,10964,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2788,25.428675665815398
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,7602,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,811,10.668245198631938
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,7602,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2967,39.02920284135754
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,7602,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2347,30.873454354117335
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,7602,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2181,28.68981846882399
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,3929,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,121,3.079664036650547
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,3929,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,208,5.293967930771188
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,3929,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,826,21.023161109697124
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,3929,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,594,15.118350725375413
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,9546,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,727,7.615755290173895
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,9546,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1166,12.214540121516865
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,9546,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2152,22.543473706264404
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,9546,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2318,24.28242195684056
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,10125,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1648,16.276543209876543
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,10125,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2128,21.017283950617283
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,10125,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3081,30.42962962962963
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,10125,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2567,25.353086419753083
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,10209,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2244,21.980605348222156
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,10209,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1194,11.695562738759918
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,10209,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,381,3.7320011754334406
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,10209,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1960,19.198746204329513
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,5255,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,502,9.55280685061846
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,5255,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,719,13.682207421503332
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,5255,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1177,22.3977164605138
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,5255,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1580,30.066603235014274
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,638,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,0.9404388714733543
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,638,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,4.38871473354232
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,638,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,76,11.912225705329153
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,638,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,117,18.338557993730408
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,6481,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,526,8.116031476623977
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,6481,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1317,20.32093812683228
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,6481,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2026,31.26060793087487
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,6481,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1374,21.200432032093815
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,10852,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1336,12.311094729082196
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,10852,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2377,21.903796535200883
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,10852,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2775,25.571323258385554
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,10852,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2591,23.875783265757462
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,18341,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3059,16.67847990840194
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,18341,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8383,45.70634098467913
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,18341,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5095,27.779292295948967
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,18341,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4518,24.63333515075514
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,7928,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,297,3.746215943491423
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,7928,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,704,8.879919273461152
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,7928,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1641,20.698789101917257
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,7928,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1263,15.93087790110999
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,9683,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,904,9.335949602395951
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,9683,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2279,23.536094185686256
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,9683,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2469,25.498295982650003
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,9683,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2203,22.751213466900754
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Colesterol elevado,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,658,9.18609521150356
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Glicemia alterada,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1241,17.32514309646796
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Presion arterial elevada,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1536,21.44352924752199
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Tabaquismo,0,0,0,0,0,0,0,0,0,0,0,7163,Hombre,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1615,22.546419098143236
