Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Colesterol elevado,2268,1180,0,25,48,78,58,107,116,139,116,401,21215,11594,13,753,871,851,728,650,594,533,440,4188,Mujer,10.177678109366914,0.0,3.3200531208499333,5.510907003444316,9.16568742655699,7.967032967032966,16.46153846153846,19.52861952861953,26.07879924953096,26.36363636363636,9.574976122254059,10.690549139759604
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Glicemia alterada,2507,1392,1,38,43,67,68,70,60,78,71,619,21215,11594,13,753,871,851,728,650,594,533,440,4188,Mujer,12.006210108676902,7.6923076923076925,5.046480743691899,4.936854190585533,7.873090481786134,9.340659340659341,10.76923076923077,10.1010101010101,14.634146341463413,16.136363636363637,14.780324737344793,11.817110534998822
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Presion arterial elevada,3597,2070,5,34,44,57,70,64,80,75,80,1018,21215,11594,13,753,871,851,728,650,594,533,440,4188,Mujer,17.854062446092804,38.46153846153847,4.51527224435591,5.05166475315729,6.698002350176263,9.615384615384617,9.846153846153847,13.468013468013467,14.071294559099437,18.181818181818183,24.30754536771729,16.954984680650483
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Tabaquismo,4310,2197,3,156,224,235,183,186,180,178,141,627,21215,11594,13,753,871,851,728,650,594,533,440,4188,Mujer,18.94945661549077,23.076923076923077,20.717131474103585,25.71756601607348,27.614571092831962,25.137362637362635,28.615384615384613,30.303030303030305,33.39587242026266,32.04545454545455,14.971346704871062,20.315814282347397
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Colesterol elevado,2325,1222,0,34,62,58,68,83,89,135,109,465,16058,8439,10,716,922,815,641,567,490,535,413,2510,Mujer,14.48038867164356,0.0,4.748603351955307,6.724511930585683,7.116564417177915,10.60842433697348,14.638447971781304,18.16326530612245,25.233644859813083,26.39225181598063,18.52589641434263,14.478764478764477
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Glicemia alterada,5523,2923,3,157,245,206,197,199,186,191,152,1064,16058,8439,10,716,922,815,641,567,490,535,413,2510,Mujer,34.636805308685865,30.0,21.92737430167598,26.572668112798265,25.2760736196319,30.733229329173167,35.09700176366843,37.95918367346939,35.700934579439256,36.803874092009686,42.39043824701195,34.39407149084568
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Presion arterial elevada,2937,1616,0,40,62,60,71,79,86,80,68,775,16058,8439,10,716,922,815,641,567,490,535,413,2510,Mujer,19.14918829245171,0.0,5.58659217877095,6.724511930585683,7.361963190184049,11.076443057722308,13.932980599647266,17.551020408163264,14.953271028037381,16.46489104116223,30.87649402390438,18.289948935110225
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Tabaquismo,4121,2081,2,191,295,240,218,196,170,182,115,431,16058,8439,10,716,922,815,641,567,490,535,413,2510,Mujer,24.659319824623772,20.0,26.675977653631282,31.99566160520607,29.447852760736197,34.009360374414975,34.5679012345679,34.69387755102041,34.018691588785046,27.845036319612593,17.171314741035857,25.663220824511146
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Colesterol elevado,340,181,0,4,5,10,10,7,16,10,6,91,9163,5011,31,187,323,378,383,314,331,232,174,1799,Mujer,3.6120534823388546,0.0,2.13903743315508,1.5479876160990713,2.6455026455026456,2.610966057441253,2.229299363057325,4.833836858006042,4.310344827586207,3.4482758620689653,5.058365758754864,3.710575139146568
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Glicemia alterada,317,177,0,0,2,3,2,5,4,7,6,111,9163,5011,31,187,323,378,383,314,331,232,174,1799,Mujer,3.5322290959888245,0.0,0.0,0.6191950464396285,0.7936507936507936,0.5221932114882507,1.5923566878980893,1.2084592145015105,3.0172413793103448,3.4482758620689653,6.170094496942746,3.4595656444395937
