Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,0,1,2,2,3,2,2,5,5,6,113,141,8.0,196.0,197.0,202.0,203.0,198.0,171.0,155.0,169.0,140.0,1978.0,3617.0,0.0,0.5102040816326531,1.015228426395939,0.9900990099009901,1.477832512315271,1.0101010101010102,1.1695906432748537,3.225806451612903,2.9585798816568047,4.285714285714286,5.712841253791709,3.8982582250483824
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,0,1,2,1,5,2,0,3,6,8,268,296,8.0,196.0,197.0,202.0,203.0,198.0,171.0,155.0,169.0,140.0,1978.0,3617.0,0.0,0.5102040816326531,1.015228426395939,0.49504950495049505,2.4630541871921183,1.0101010101010102,0.0,1.935483870967742,3.5502958579881656,5.714285714285714,13.549039433771487,8.18357755045618
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,1,9,7,21,28,24,29,32,40,44,621,856,8.0,196.0,197.0,202.0,203.0,198.0,171.0,155.0,169.0,140.0,1978.0,3617.0,12.5,4.591836734693878,3.5532994923857872,10.396039603960396,13.793103448275861,12.121212121212121,16.95906432748538,20.64516129032258,23.668639053254438,31.428571428571427,31.3953488372093,23.666021564832736
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,3,41,39,56,43,60,40,52,57,29,247,667,8.0,196.0,197.0,202.0,203.0,198.0,171.0,155.0,169.0,140.0,1978.0,3617.0,37.5,20.918367346938776,19.796954314720814,27.722772277227726,21.182266009852217,30.303030303030305,23.391812865497073,33.5483870967742,33.72781065088758,20.714285714285715,12.487360970677452,18.440696709980646
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,0,16,34,68,43,81,69,84,62,62,210,729,0.0,272.0,286.0,318.0,235.0,248.0,188.0,193.0,151.0,152.0,1923.0,3966.0,,5.88235294117647,11.888111888111888,21.38364779874214,18.29787234042553,32.66129032258064,36.702127659574465,43.523316062176164,41.05960264900662,40.78947368421053,10.9204368174727,18.38124054462935
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,0,20,27,52,50,57,43,52,49,48,429,827,0.0,272.0,286.0,318.0,235.0,248.0,188.0,193.0,151.0,152.0,1923.0,3966.0,,7.352941176470589,9.44055944055944,16.352201257861633,21.27659574468085,22.983870967741936,22.872340425531913,26.94300518134715,32.450331125827816,31.57894736842105,22.308892355694226,20.852244074634392
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,0,8,8,13,13,27,28,43,36,30,394,600,0.0,272.0,286.0,318.0,235.0,248.0,188.0,193.0,151.0,152.0,1923.0,3966.0,,2.941176470588235,2.797202797202797,4.088050314465408,5.531914893617021,10.887096774193548,14.893617021276595,22.279792746113987,23.841059602649008,19.736842105263158,20.48881955278211,15.128593040847202
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,0,57,93,119,78,81,72,64,47,60,220,891,0.0,272.0,286.0,318.0,235.0,248.0,188.0,193.0,151.0,152.0,1923.0,3966.0,,20.955882352941178,32.51748251748251,37.42138364779874,33.191489361702125,32.66129032258064,38.297872340425535,33.160621761658035,31.125827814569533,39.473684210526315,11.440457618304732,22.465960665658095
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,1,10,9,14,15,25,32,38,30,18,74,266,6.0,194.0,225.0,225.0,177.0,162.0,178.0,196.0,166.0,104.0,1959.0,3592.0,16.666666666666664,5.154639175257731,4.0,6.222222222222222,8.47457627118644,15.432098765432098,17.97752808988764,19.387755102040817,18.072289156626507,17.307692307692307,3.777437468095967,7.405345211581292
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,3,8,6,15,14,23,18,21,20,8,185,321,6.0,194.0,225.0,225.0,177.0,162.0,178.0,196.0,166.0,104.0,1959.0,3592.0,50.0,4.123711340206185,2.666666666666667,6.666666666666667,7.909604519774012,14.19753086419753,10.112359550561797,10.714285714285714,12.048192771084338,7.6923076923076925,9.443593670239919,8.93652561247216
