Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,28,0,1,1,2,0,1,0,1,1,1,20,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,57.0,731.0,Hombre,0.0,2.0408163265306123,1.9230769230769231,3.125,0.0,1.5384615384615385,0.0,1.8181818181818181,1.639344262295082,1.7543859649122806,2.7359781121751023,2.2328548644338118
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,119,0,1,2,0,2,0,0,1,2,5,106,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,57.0,731.0,Hombre,0.0,2.0408163265306123,3.8461538461538463,0.0,3.389830508474576,0.0,0.0,1.8181818181818181,3.278688524590164,8.771929824561402,14.500683994528044,9.4896331738437
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,366,0,5,5,9,11,13,13,18,20,24,248,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,57.0,731.0,Hombre,0.0,10.204081632653061,9.615384615384617,14.0625,18.64406779661017,20.0,22.413793103448278,32.72727272727273,32.78688524590164,42.10526315789473,33.926128590971274,29.1866028708134
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109302,Centro de Salud Familiar Lucas Sierra,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,267,1,11,13,25,12,27,19,16,22,11,110,1254.0,3.0,49.0,52.0,64.0,59.0,65.0,58.0,55.0,61.0,57.0,731.0,Hombre,33.33333333333333,22.448979591836736,25.0,39.0625,20.33898305084746,41.53846153846154,32.758620689655174,29.09090909090909,36.0655737704918,19.298245614035086,15.047879616963064,21.291866028708135
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,227,0,4,13,24,18,23,22,18,13,24,68,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,67.0,693.0,Hombre,,5.263157894736842,18.571428571428573,34.78260869565217,27.692307692307693,34.32835820895522,46.808510638297875,30.508474576271187,24.074074074074073,35.82089552238806,9.812409812409813,17.91633780584057
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,321,0,4,10,14,26,21,12,16,17,20,181,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,67.0,693.0,Hombre,,5.263157894736842,14.285714285714285,20.28985507246377,40.0,31.343283582089555,25.53191489361702,27.11864406779661,31.48148148148148,29.850746268656714,26.118326118326117,25.33543804262036
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,255,0,3,4,3,8,11,16,23,18,19,150,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,67.0,693.0,Hombre,,3.9473684210526314,5.714285714285714,4.3478260869565215,12.307692307692308,16.417910447761194,34.04255319148936,38.983050847457626,33.33333333333333,28.35820895522388,21.645021645021643,20.126282557221785
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109308,Centro de Salud Familiar Alberto Bachelet Martínez,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,306,0,22,26,27,25,27,18,20,19,30,92,1267.0,0.0,76.0,70.0,69.0,65.0,67.0,47.0,59.0,54.0,67.0,693.0,Hombre,,28.947368421052634,37.142857142857146,39.130434782608695,38.46153846153847,40.298507462686565,38.297872340425535,33.89830508474576,35.18518518518518,44.776119402985074,13.275613275613276,24.151539068666143
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,89,1,6,6,9,7,9,12,11,10,3,15,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,37.0,719.0,Hombre,100.0,9.523809523809524,11.11111111111111,10.843373493975903,14.285714285714285,16.666666666666664,22.22222222222222,16.176470588235293,17.24137931034483,8.108108108108109,2.086230876216968,7.17741935483871
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,139,3,1,3,7,7,13,11,7,7,5,75,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,37.0,719.0,Hombre,300.0,1.5873015873015872,5.555555555555555,8.433734939759036,14.285714285714285,24.074074074074073,20.37037037037037,10.294117647058822,12.068965517241379,13.513513513513514,10.43115438108484,11.209677419354838
