Ano,nivel_geografico,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,rm,Colesterol elevado,177,1928,2922,3989,4282,4960,5346,6248,5937,4840,28622,69251,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,2.3237495076801893,3.916470301454457,5.2754156962573795,6.868349461069596,8.68260437577306,11.132558243928715,13.87094263252121,17.287366498810247,18.32973139857981,17.26536581885635,9.452287775961429,9.863395722267878
2023,rm,Glicemia alterada,677,5329,6828,7998,7619,7652,7307,7578,7328,6358,66823,131497,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,8.888013653669425,10.825140164134233,12.327357417537778,13.771135369675264,15.449033801731654,17.17466445212551,18.9590306426922,20.96729566709092,22.624266748996604,22.68041237113402,22.067997556183023,18.72907174323922
2023,rm,Presion arterial elevada,238,2137,3143,4246,4841,5740,5822,6268,6067,5692,80319,124510,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,3.1245897334908754,4.341025432680588,5.674411886836737,7.310857811908124,9.816087758785002,12.883242806482023,15.105991022547416,17.342703779536272,18.731089842543994,20.304640958869903,26.524991331054636,17.73391577565051
2023,rm,Tabaquismo,834,11822,14812,15968,14103,13317,11081,9882,8648,7465,33046,140978,7617,49228,55389,58078,49317,44554,38541,36142,32390,28033,302805,702101,10.949192595510043,24.01478833184367,26.741771831952192,27.494059712800027,28.596629965326358,29.88957220451587,28.751200020757118,27.342150406729015,26.699598641556037,26.629329718546003,10.913294034114363,20.079447259012593
2024,rm,Colesterol elevado,210,2278,3365,4454,4835,5513,5727,6710,6288,5534,29965,74879,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,2.3611423431526872,3.795401532822393,5.1415649304016995,6.478168542921139,7.971707445756117,10.373116074284532,12.83879211782904,15.626455519329296,16.590591277275006,15.76099339257234,8.873076365014644,9.185567377061044
2024,rm,Glicemia alterada,761,6546,8178,9447,9364,9340,8753,9093,8668,7987,70586,148723,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,8.556330110186643,10.906364545151616,12.495607132488884,13.740291473950606,15.438897315834597,17.57389880896382,19.622480776559733,21.176059618071726,22.870108968101103,22.747208931419458,20.901550752575456,18.244169086374683
2024,rm,Presion arterial elevada,261,2675,3890,5018,5755,6557,7000,7366,7164,6987,87006,139679,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,2.934562626489768,4.456847717427524,5.943740736779379,7.298484451813712,9.488557673283651,12.337479067492051,15.692604299773578,17.154168607359104,18.901875939948816,19.89917976760082,25.76375378656646,17.13472222733356
2024,rm,Tabaquismo,890,13421,17041,18255,16720,15333,12292,11583,9725,9100,38040,162400,8894,60020,65447,68754,60652,53147,44607,42940,37901,35112,337707,815181,10.006746120980436,22.36087970676441,26.037862698061026,26.551182476655903,27.567104135065616,28.85017028242422,27.556213150402403,26.974848625989758,25.658953589615052,25.9170653907496,11.26420240030559,19.92195598278174
2025,rm,Colesterol elevado,174,2127,3192,4673,5609,6437,7783,10409,10731,12239,28021,91395,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,1.3949013949013949,4.274345886419356,5.839095598726813,7.701816263968092,9.471142480834825,11.600706459054209,14.03632166495338,16.262791969377393,15.932948285845793,15.595254781533912,8.988436061524643,10.513474433259367
2025,rm,Glicemia alterada,907,5841,6973,8654,9619,9891,11337,14450,16319,19602,63136,166729,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,7.271123937790605,11.73787227201479,12.75564336150441,14.263111052510135,16.24227483029955,17.82547577854671,20.445815073310612,22.576361221779546,24.229781295006756,24.977382484486295,20.252449919004313,19.17939798438537
2025,rm,Presion arterial elevada,198,2043,2792,4323,5868,7468,9359,12006,13463,16265,69561,143346,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,1.5873015873015872,4.105542381737068,5.107379358284858,7.124962916570525,9.90847995677282,13.45876585928489,16.87857310321196,18.757909538317318,19.989309735564433,20.72528956790989,22.313429245056053,16.489572800590814
2025,rm,Tabaquismo,731,9539,12649,14160,14556,14150,13578,15476,14334,16839,34425,160437,12474,49762,54666,60674,59222,55488,55449,64005,67351,78479,311745,869313,5.860189193522527,19.169245609099313,23.138696813375773,23.337838283284437,24.578703860052006,25.5010092272203,24.48736676946383,24.179360987422857,21.28253478047839,21.45669542170517,11.042679112736371,18.455608049114648
