Ano,nivel_geografico,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,rm,Colesterol elevado,97787,51174,129,1522,2178,2831,3011,3485,3896,4792,4586,20183,906483,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,158005,Mujer,10.655633593126957,2.53388332351208,4.18223785447351,5.2728417179102305,6.591078413112311,8.366212836899138,10.916551810550057,14.23092376812653,19.043834201009417,20.817067635043124,12.773646403594825,10.787516147572541
2023,rm,Glicemia alterada,157882,83980,402,3721,4784,5529,5241,5078,4779,4965,4702,34701,906483,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,158005,Mujer,17.48661642925708,7.896287566293458,10.224774675752911,11.581852515373068,12.872508847085118,14.562378438455125,15.906528004009523,17.45625890345911,19.731351587648533,21.343622333182026,21.96196322901174,17.416984102294254
2023,rm,Presion arterial elevada,132289,73837,126,1203,1753,2326,2775,3200,3396,3536,3302,36835,906483,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,158005,Mujer,15.374604635473386,2.4749558043606363,3.305671576170587,4.243935505737665,5.415347364499907,7.710475131981105,10.023806540533768,12.40457318186799,14.052378492230655,14.988651838402179,23.312553400208856,14.593654817575178
2023,rm,Tabaquismo,182705,92352,597,8230,10179,11081,9810,9149,7503,6474,5580,21750,906483,480253,5091,36392,41306,42952,35990,31924,27377,25163,22030,158005,Mujer,19.229864259046796,11.726576311137302,22.614860408881075,24.642909020481284,25.79856584093872,27.257571547652127,28.658689387294828,27.406216897395623,25.72825179827525,25.329096686336815,13.765387171292048,20.15536970908445
2024,rm,Colesterol elevado,102464,53513,150,1728,2405,3028,3243,3670,3983,4863,4516,21365,1009560,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,174945,Mujer,10.002411210446335,2.565856996236743,4.137138479218541,5.249716231555051,6.329828375525221,7.809000939102797,10.310147207551411,13.518191691555797,17.453253418512006,18.89618812502615,12.212409614450257,10.149372003645151
2024,rm,Glicemia alterada,172751,91589,458,4264,5348,6176,6051,5925,5440,5560,5106,36834,1009560,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,174945,Mujer,17.119407253444386,7.834416695176189,10.208772265849454,11.673797258360255,12.91050860212806,14.570541067687639,16.645128666142263,18.463209340211783,19.95477873882927,21.36491066571823,21.054617165394838,17.111513926859224
2024,rm,Presion arterial elevada,141051,79052,129,1300,1898,2483,2873,3361,3596,3699,3349,39311,1009560,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,174945,Mujer,14.776047147575424,2.206637016763599,3.112430568856541,4.1430192962542565,5.1905428852143745,6.918057261190976,9.442072142937409,12.204724409448819,13.275670243692353,14.013138625047073,22.470490725656635,13.971532152620943
2024,rm,Tabaquismo,197196,99744,527,8712,10831,11731,10688,9697,7635,6945,5753,24933,1009560,535001,5846,41768,45812,47837,41529,35596,29464,27863,23899,174945,Mujer,18.64370346971314,9.014710913445091,20.858073166060144,23.642277132629005,24.522858874929447,25.736232512220376,27.241824924148784,25.912978550095033,24.92552847862757,24.07213690949412,14.251907742433337,19.532865802924047
2025,rm,Colesterol elevado,152696,79168,140,1799,2613,3632,4235,4979,6305,8865,9627,31333,1312033,689967,8785,41747,46526,51770,49533,45319,44209,50158,52451,231568,Mujer,11.474171953151382,1.593625498007968,4.309291685630106,5.6162145896917846,7.015646127100637,8.549855651787697,10.986561927668307,14.261801895541632,17.674149686989114,18.35427351242112,13.530798728667174,11.638121906994717
2025,rm,Glicemia alterada,233474,122462,522,4188,5158,6452,7170,7271,8342,10608,12186,49115,1312033,689967,8785,41747,46526,51770,49533,45319,44209,50158,52451,231568,Mujer,17.748964805563165,5.941946499715424,10.031858576664192,11.086274341228561,12.462816302878114,14.475198352613408,16.044043337231624,18.86946096948585,21.14916862713824,23.233112810051285,21.20975264285221,17.794826806947693
2025,rm,Presion arterial elevada,185493,101160,107,1205,1759,2808,3934,4980,6358,8068,8943,46171,1312033,689967,8785,41747,46526,51770,49533,45319,44209,50158,52451,231568,Mujer,14.661570770775995,1.217985202048947,2.886434953409826,3.7806817693332757,5.423990728220978,7.942179960834192,10.988768507689931,14.381686986812639,16.08517086008214,17.05019923357038,19.938419816209493,14.13783037469332
2025,rm,Tabaquismo,243692,123075,460,7516,10011,11232,11581,11332,10561,11735,10814,35375,1312033,689967,8785,41747,46526,51770,49533,45319,44209,50158,52451,231568,Mujer,17.83780963437382,5.2361980648833235,18.003688887824275,21.517001246614793,21.69596291288391,23.380372680839038,25.004964805048658,23.888800922889004,23.396068423780854,20.617338086976417,15.276290333724868,18.57361819405457
