Ano,nivel_geografico,IdServicio_master,servicio_salud_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Colesterol elevado,26,377,593,886,963,1142,1231,1411,1132,787,3410,11958,516,7239,8490,8726,7675,6959,6016,5498,4366,3293,39713,98498,5.038759689922481,5.207901643873463,6.984687868080094,10.153564061425623,12.547231270358306,16.410403793648513,20.462101063829788,25.663877773735905,25.92762253779203,23.89918007895536,8.58660891899378,12.140348027371115
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Glicemia alterada,27,500,704,871,855,886,883,955,829,630,7231,14371,516,7239,8490,8726,7675,6959,6016,5498,4366,3293,39713,98498,5.232558139534884,6.907031357922365,8.292108362779741,9.981663992665597,11.140065146579804,12.731714326771087,14.67752659574468,17.36995271007639,18.987631699496106,19.1314910416034,18.20814342910382,14.590143962313956
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Presion arterial elevada,26,314,471,608,718,824,817,890,816,695,10362,16538,516,7239,8490,8726,7675,6959,6016,5498,4366,3293,39713,98498,5.038759689922481,4.337615692775245,5.5477031802120145,6.967682787073115,9.355048859934852,11.840781721511712,13.580452127659576,16.18770461986177,18.68987631699496,21.105375037959305,26.092211618361745,16.79018863327174
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Tabaquismo,95,1821,2391,2397,2175,2057,1747,1626,1209,946,4155,20619,516,7239,8490,8726,7675,6959,6016,5498,4366,3293,39713,98498,18.410852713178294,25.155408205553254,28.16254416961131,27.469630987852394,28.338762214983714,29.558844661589305,29.039228723404253,29.574390687522733,27.691250572606506,28.727604008502883,10.462568932087729,20.93341996791813
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Colesterol elevado,68,588,928,1259,1318,1484,1581,1798,1823,1389,6413,18649,2168,9605,10952,11455,9801,8780,7785,7229,6354,5073,56222,135424,3.136531365313653,6.121811556480999,8.473338203067932,10.990833697075512,13.447607387001327,16.902050113895218,20.308285163776493,24.872043159496474,28.69058860560277,27.38024837374335,11.406566824374801,13.770823487712667
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Glicemia alterada,319,1474,2050,2266,2259,2224,2171,2132,2105,1677,13971,32648,2168,9605,10952,11455,9801,8780,7785,7229,6354,5073,56222,135424,14.714022140221402,15.3461738677772,18.718042366691016,19.781754692274117,23.048668503213957,25.33029612756264,27.886962106615286,29.492322589569785,33.12873780295877,33.05736250739207,24.84970296325282,24.107986767485823
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Presion arterial elevada,71,482,712,998,1176,1331,1384,1419,1405,1250,17520,27748,2168,9605,10952,11455,9801,8780,7785,7229,6354,5073,56222,135424,3.274907749077491,5.018219677251431,6.501095690284879,8.712352684417285,11.998775635139273,15.159453302961277,17.77777777777778,19.62927099183843,22.11205539817438,24.640252316183716,31.162178506634415,20.489721172022684
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Tabaquismo,220,2297,2893,3275,2833,2678,2272,1953,1747,1304,5849,27321,2168,9605,10952,11455,9801,8780,7785,7229,6354,5073,56222,135424,10.14760147601476,23.914627798021865,26.41526661796932,28.59013531209079,28.9052137536986,30.50113895216401,29.184328837508026,27.0161848111772,27.49449165879761,25.704711216242853,10.403400803955746,20.174415170132328
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Colesterol elevado,14,192,400,524,609,745,823,994,1010,964,4743,11018,815,5044,6134,6544,5805,5275,4716,4808,4789,4525,37417,85872,1.7177914110429449,3.8065027755749403,6.521030322791001,8.007334963325183,10.49095607235142,14.123222748815165,17.45122985581001,20.6738768718802,21.089997911881394,21.303867403314918,12.676056338028168,12.830724799701882
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Glicemia alterada,96,1068,1392,1618,1480,1510,1414,1556,1705,1717,15571,29127,815,5044,6134,6544,5805,5275,4716,4808,4789,4525,37417,85872,11.779141104294478,21.173671689135606,22.693185523312685,24.724938875305625,25.49526270456503,28.62559241706161,29.98303647158609,32.36272878535774,35.60242221758196,37.94475138121547,41.61477403319347,33.9190888764673
