Ano,nivel_geografico,IdServicio_master,servicio_salud_master,factor_riesgo,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_24,15_24_prevalencia_pct,25_34,25_34_prevalencia_pct,35_44,35_44_prevalencia_pct,45_54,45_54_prevalencia_pct,55_64,55_64_prevalencia_pct,65_mas,65_mas_prevalencia_pct,total_15_mas,total_15_mas_prevalencia_pct
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Colesterol elevado,0,0,0,0,0,0,30933,Hombre,0,,0,,0,,0,,0,,0,,3597,11.628358064203278
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Glicemia alterada,0,0,0,0,0,0,30933,Hombre,0,,0,,0,,0,,0,,0,,5305,17.14996928846216
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Presion arterial elevada,0,0,0,0,0,0,30933,Hombre,0,,0,,0,,0,,0,,0,,6917,22.36123234086574
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Tabaquismo,0,0,0,0,0,0,30933,Hombre,0,,0,,0,,0,,0,,0,,7159,23.143568357417646
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Colesterol elevado,0,0,0,0,0,0,44473,Hombre,0,,0,,0,,0,,0,,0,,4908,11.035909428192387
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Glicemia alterada,0,0,0,0,0,0,44473,Hombre,0,,0,,0,,0,,0,,0,,12062,27.12207406741169
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Presion arterial elevada,0,0,0,0,0,0,44473,Hombre,0,,0,,0,,0,,0,,0,,11455,25.757200998358552
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Tabaquismo,0,0,0,0,0,0,44473,Hombre,0,,0,,0,,0,,0,,0,,9765,21.95714253592067
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Colesterol elevado,0,0,0,0,0,0,27579,Hombre,0,,0,,0,,0,,0,,0,,2589,9.387577504623083
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Glicemia alterada,0,0,0,0,0,0,27579,Hombre,0,,0,,0,,0,,0,,0,,9935,36.023786214148444
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Presion arterial elevada,0,0,0,0,0,0,27579,Hombre,0,,0,,0,,0,,0,,0,,6365,23.0791544290946
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Tabaquismo,0,0,0,0,0,0,27579,Hombre,0,,0,,0,,0,,0,,0,,5710,20.704158961528698
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Colesterol elevado,0,0,0,0,0,0,33792,Hombre,0,,0,,0,,0,,0,,0,,1391,4.116358901515151
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Glicemia alterada,0,0,0,0,0,0,33792,Hombre,0,,0,,0,,0,,0,,0,,3121,9.235913825757576
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Presion arterial elevada,0,0,0,0,0,0,33792,Hombre,0,,0,,0,,0,,0,,0,,6992,20.69128787878788
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Tabaquismo,0,0,0,0,0,0,33792,Hombre,0,,0,,0,,0,,0,,0,,5947,17.59883996212121
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Colesterol elevado,0,0,0,0,0,0,49349,Hombre,0,,0,,0,,0,,0,,0,,3480,7.051814626436199
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Glicemia alterada,0,0,0,0,0,0,49349,Hombre,0,,0,,0,,0,,0,,0,,10646,21.57287888305741
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Presion arterial elevada,0,0,0,0,0,0,49349,Hombre,0,,0,,0,,0,,0,,0,,11700,23.708687106121705
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Tabaquismo,0,0,0,0,0,0,49349,Hombre,0,,0,,0,,0,,0,,0,,12421,25.169709619242536
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Colesterol elevado,0,0,0,0,0,0,35722,Hombre,0,,0,,0,,0,,0,,0,,2112,5.912322938245339
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Glicemia alterada,0,0,0,0,0,0,35722,Hombre,0,,0,,0,,0,,0,,0,,6448,18.05050109176418
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Presion arterial elevada,0,0,0,0,0,0,35722,Hombre,0,,0,,0,,0,,0,,0,,7244,20.278819774928618
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Tabaquismo,0,0,0,0,0,0,35722,Hombre,0,,0,,0,,0,,0,,0,,7624,21.34259000055988
