Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,3617,1254,2363,8,196,197,202,203,198,171,155,169,140,1978,3,49,52,64,59,65,58,55,61,57,520,731,5,147,145,138,144,133,113,100,108,83,1111,1247,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,3966,1267,2699,0,272,286,318,235,248,188,193,151,152,1923,0,76,70,69,65,67,47,59,54,67,574,693,0,196,216,249,170,181,141,134,97,85,1469,1230,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,3592,1240,2352,6,194,225,225,177,162,178,196,166,104,1959,1,63,54,83,49,54,54,68,58,37,520,719,5,131,171,142,128,108,124,128,108,67,1107,1240,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,4364,1594,2770,0,284,349,294,273,226,191,156,139,125,2327,0,108,120,102,86,74,55,62,66,55,728,866,0,176,229,192,187,152,136,94,73,70,1309,1461,0.0,0.0
2023,13,9,13104,109709,109309,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Primario,Vigente en Operación Habitual,True,False,1188,366,822,4,70,72,100,79,64,65,66,44,41,583,1,21,15,16,14,17,18,14,16,12,143,222,3,49,57,84,65,47,47,52,28,29,458,361,0.0,0.0
2023,13,9,13104,200347,109308,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Primario,Vigente en Operación Habitual,True,False,864,276,588,0,68,70,70,52,45,50,41,43,25,400,0,14,17,24,18,16,17,16,17,9,148,128,0,54,53,46,34,29,33,25,26,16,316,272,0.0,0.0
2023,13,9,13107,109305,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Primario,Vigente en Operación Habitual,True,False,4652,1581,3071,1,389,464,395,328,313,256,249,238,156,1863,1,104,119,104,90,97,80,84,99,74,851,729,0,285,345,291,238,216,176,165,139,82,1937,1134,0.0,0.0
2023,13,9,13107,109317,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Primario,Vigente en Operación Habitual,True,False,2143,684,1459,2,186,230,226,162,140,123,161,140,57,716,1,56,52,57,45,44,34,50,52,24,414,269,1,130,178,169,117,96,89,111,88,33,1011,447,0.0,0.0
2023,13,9,13107,109323,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,2834,874,1960,9,238,272,276,198,185,180,212,130,73,1061,5,51,54,75,49,52,62,60,52,28,483,386,4,187,218,201,149,133,118,152,78,45,1281,675,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,1446,483,963,0,88,139,130,139,105,67,69,83,73,553,0,22,36,38,37,28,25,17,30,27,260,223,0,66,103,92,102,77,42,52,53,46,633,330,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,1393,407,986,8,69,105,88,57,59,83,75,76,58,715,3,21,27,26,22,14,18,20,21,17,186,218,5,48,78,62,35,45,65,55,55,41,484,497,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,4291,1267,3024,25,141,307,351,356,322,315,209,163,155,1947,4,43,84,84,108,108,67,66,47,46,653,610,21,98,223,267,248,214,248,143,116,109,1666,1337,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,2661,810,1851,12,101,128,136,155,114,96,110,87,62,1660,3,21,32,39,34,25,24,30,35,21,261,546,9,80,96,97,121,89,72,80,52,41,728,1114,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,202,66,136,3,10,8,16,17,12,13,12,9,6,89,2,1,4,2,3,1,2,3,3,1,20,37,1,9,4,14,14,11,11,9,6,5,83,52,0.0,0.0
2023,13,9,13125,109313,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Primario,Vigente en Operación Habitual,True,False,3744,873,2871,13,400,426,432,386,297,218,218,160,136,1058,5,38,52,59,54,67,40,55,43,39,447,421,8,362,374,373,332,230,178,163,117,97,2226,637,0.0,0.0
2023,13,9,13125,109315,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Primario,Vigente en Operación Habitual,True,False,3745,1209,2536,0,365,369,285,234,245,244,258,198,136,1411,0,111,99,78,67,68,75,77,62,48,685,524,0,254,270,207,167,177,169,181,136,88,1649,887,0.0,0.0
2023,13,9,13125,109324,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,4211,1218,2993,0,382,420,426,401,378,354,385,244,149,1072,0,111,100,99,86,105,90,139,78,57,865,353,0,271,320,327,315,273,264,246,166,92,2274,719,0.0,0.0
2023,13,9,13125,109713,109324,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Primario,Vigente en Operación Habitual,True,False,352,39,313,1,47,46,42,21,18,37,31,17,8,84,0,2,3,1,1,1,4,5,2,0,19,20,1,45,43,41,20,17,33,26,15,8,248,64,0.0,0.0
2023,13,9,13125,109715,109315,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Pucara de Lasana,Primario,Vigente en Operación Habitual,True,False,433,103,330,0,47,32,56,68,35,24,14,22,16,119,0,15,6,8,13,9,3,1,7,6,68,35,0,32,26,48,55,26,21,13,15,10,246,84,0.0,0.0
2023,13,9,13125,200304,109313,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Beato Padre Hurtado,Primario,Vigente en Operación Habitual,True,False,474,145,329,0,72,67,79,52,48,20,22,21,21,72,0,15,19,24,17,8,7,9,11,6,116,29,0,57,48,55,35,40,13,13,10,15,286,43,0.0,0.0
2023,13,9,13125,201091,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Marta Ugarte Román,Primario,Vigente en Operación Habitual,True,False,4479,1372,3107,0,250,303,328,300,300,235,190,208,206,2159,0,57,49,61,59,73,47,51,64,75,536,836,0,193,254,267,241,227,188,139,144,131,1784,1323,0.0,0.0
2023,13,9,13127,109301,,09,Servicio de Salud Metropolitano Norte,Municipal,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Primario,Vigente en Operación Habitual,True,False,4918,1418,3500,13,236,378,375,420,332,289,261,179,153,2282,7,50,65,75,99,84,68,77,62,61,641,770,6,186,313,300,321,248,221,184,117,92,1982,1512,0.0,0.0
