Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,categoria_estado_nutricional,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Bajo peso,224,71,153,1,6,2,2,1,5,3,1,1,3,199,1,1,1,2,0,1,3,0,1,1,10,60,0,5,1,0,1,4,0,1,0,2,14,139,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Normal,1169,467,702,2,67,53,44,50,25,28,31,51,40,778,1,18,16,18,15,11,10,7,22,16,133,333,1,49,37,26,35,14,18,24,29,24,256,445,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Obesidad,1064,282,782,4,63,69,76,83,88,64,63,54,44,456,1,13,17,19,22,27,15,25,12,16,166,115,3,50,52,57,61,61,49,38,42,28,438,341,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1160,434,726,1,60,73,80,69,80,76,60,63,53,545,0,17,18,25,22,26,30,23,26,24,211,223,1,43,55,55,47,54,46,37,37,29,403,322,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Bajo peso,254,89,165,0,14,4,8,1,4,0,0,1,6,216,0,7,0,1,1,1,0,0,0,1,11,78,0,7,4,7,0,3,0,0,1,5,27,138,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Normal,1339,491,848,0,106,81,79,58,58,41,51,42,39,784,0,41,23,16,16,13,9,20,15,21,174,317,0,65,58,63,42,45,32,31,27,18,381,467,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Obesidad,1068,275,793,0,67,100,111,88,101,64,65,34,38,400,0,14,18,28,27,25,16,17,9,16,170,105,0,53,82,83,61,76,48,48,25,22,498,295,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1305,412,893,0,85,101,120,88,85,83,77,74,69,523,0,14,29,24,21,28,22,22,30,29,219,193,0,71,72,96,67,57,61,55,44,40,563,330,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Bajo peso,185,54,131,0,5,4,3,0,1,2,3,2,5,160,0,2,0,1,0,0,0,0,1,1,5,49,0,3,4,2,0,1,2,3,1,4,20,111,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Normal,1018,421,597,2,63,63,50,26,29,22,34,39,22,668,0,23,18,19,5,13,7,12,13,8,118,303,2,40,45,31,21,16,15,22,26,14,230,365,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Obesidad,1209,343,866,4,65,86,93,93,74,75,75,62,31,551,1,20,19,32,29,23,18,20,19,11,191,151,3,45,67,61,64,51,57,55,43,20,463,400,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1180,422,758,0,61,72,79,58,58,79,84,63,46,580,0,18,17,31,15,18,29,36,25,17,206,216,0,43,55,48,43,40,50,48,38,29,394,364,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Bajo peso,327,125,202,0,7,6,5,3,1,6,2,3,0,294,0,3,5,2,1,1,3,1,2,0,18,107,0,4,1,3,2,0,3,1,1,0,15,187,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Normal,1367,571,796,0,115,105,68,63,52,29,34,29,35,837,0,57,41,28,20,20,10,12,11,12,211,360,0,58,64,40,43,32,19,22,18,23,319,477,0.0,0.0
