Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,factor_riesgo,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,141,28,113,0,1,2,2,3,2,2,5,5,6,113,0,1,1,2,0,1,0,1,1,1,8,20,0,0,1,0,3,1,2,4,4,5,20,93,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,296,119,177,0,1,2,1,5,2,0,3,6,8,268,0,1,2,0,2,0,0,1,2,5,13,106,0,0,0,1,3,2,0,2,4,3,15,162,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,856,366,490,1,9,7,21,28,24,29,32,40,44,621,0,5,5,9,11,13,13,18,20,24,118,248,1,4,2,12,17,11,16,14,20,20,116,373,0.0,0.0
2023,13,9,13104,109302,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,667,267,400,3,41,39,56,43,60,40,52,57,29,247,1,11,13,25,12,27,19,16,22,11,156,110,2,30,26,31,31,33,21,36,35,18,261,137,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,729,227,502,0,16,34,68,43,81,69,84,62,62,210,0,4,13,24,18,23,22,18,13,24,159,68,0,12,21,44,25,58,47,66,49,38,360,142,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,827,321,506,0,20,27,52,50,57,43,52,49,48,429,0,4,10,14,26,21,12,16,17,20,140,181,0,16,17,38,24,36,31,36,32,28,258,248,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,600,255,345,0,8,8,13,13,27,28,43,36,30,394,0,3,4,3,8,11,16,23,18,19,105,150,0,5,4,10,5,16,12,20,18,11,101,244,0.0,0.0
2023,13,9,13104,109308,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,891,306,585,0,57,93,119,78,81,72,64,47,60,220,0,22,26,27,25,27,18,20,19,30,214,92,0,35,67,92,53,54,54,44,28,30,457,128,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,266,89,177,1,10,9,14,15,25,32,38,30,18,74,1,6,6,9,7,9,12,11,10,3,73,15,0,4,3,5,8,16,20,27,20,15,118,59,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,321,139,182,3,8,6,15,14,23,18,21,20,8,185,3,1,3,7,7,13,11,7,7,5,61,75,0,7,3,8,7,10,7,14,13,3,72,110,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,1155,486,669,6,23,47,47,59,61,41,41,45,27,758,3,11,24,27,24,46,16,19,24,13,204,279,3,12,23,20,35,15,25,22,21,14,187,479,0.0,0.0
2023,13,9,13104,109309,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,626,255,371,5,48,64,54,40,49,51,51,39,30,195,5,18,25,27,17,23,19,16,13,13,171,79,0,30,39,27,23,26,32,35,26,17,255,116,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,259,80,179,0,7,16,14,16,26,27,21,29,20,83,0,2,4,6,8,7,7,8,9,6,57,23,0,5,12,8,8,19,20,13,20,14,119,60,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,446,150,296,0,10,21,23,19,17,17,19,24,24,272,0,2,10,11,3,3,5,8,11,10,63,87,0,8,11,12,16,14,12,11,13,14,111,185,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,534,243,291,0,11,18,16,16,23,24,25,23,23,355,0,4,12,8,11,11,13,15,9,14,97,146,0,7,6,8,5,12,11,10,14,9,82,209,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,980,431,549,0,70,111,93,88,89,64,66,54,39,306,0,28,50,35,38,35,22,33,25,20,286,145,0,42,61,58,50,54,42,33,29,19,388,161,0.0,0.0
