Ano,nivel_geografico,profesional,total_ambos_sexos,proporcion_profesional_pct
2023,rm,Enfermera/o,318815,45.42617809700626
2023,rm,Matrona/on,33263,4.739460069446918
2023,rm,Medico/a,7192,1.024748123123658
2023,rm,Nutricionista,67385,9.601314276513861
2023,rm,Otro profesional capacitado en EMP y EMPAM,108855,15.510144180009148
2023,rm,Tecnico en enfermeria,166321,23.698155253900154
2024,rm,Enfermera/o,358279,43.8970570217354
2024,rm,Matrona/on,33731,4.1327893356857555
2024,rm,Medico/a,7280,0.8919601068391776
2024,rm,Nutricionista,78194,9.580484697003113
2024,rm,Otro profesional capacitado en EMP y EMPAM,117911,14.446690680977238
2024,rm,Tecnico en enfermeria,220785,27.051018157759316
2025,rm,Enfermera/o,426656,39.435515773984484
2025,rm,Matrona/on,41247,3.8124313712441356
2025,rm,Medico/a,26215,2.4230341212006934
2025,rm,Nutricionista,119833,11.076080406097375
2025,rm,Otro profesional capacitado en EMP y EMPAM,127952,11.826513899518257
2025,rm,Tecnico en enfermeria,340005,31.42642442795506
