Ano,nivel_geografico,IdServicio_master,servicio_salud_master,profesional,total_ambos_sexos,proporcion_profesional_pct,sexo
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Enfermera/o,19974,64.655423558735,Hombre
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Matrona/on,126,0.40785938562133817,Hombre
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Medico/a,296,0.9581458582850484,Hombre
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Nutricionista,3704,11.989771145566957,Hombre
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Otro profesional capacitado en EMP y EMPAM,3389,10.970122681513612,Hombre
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,Tecnico en enfermeria,3404,11.018677370278057,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Enfermera/o,23173,52.04725647418188,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Matrona/on,262,0.5884598971318195,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Medico/a,69,0.15497607977899064,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Nutricionista,879,1.974260494575837,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Otro profesional capacitado en EMP y EMPAM,665,1.4936100442467939,Hombre
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Tecnico en enfermeria,19475,43.741437010084674,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Enfermera/o,13850,50.16480133289869,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Matrona/on,272,0.9851859900757,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Medico/a,264,0.9562099315440618,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Nutricionista,2671,9.674381542250716,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Otro profesional capacitado en EMP y EMPAM,6171,22.35140714984244,Hombre
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,Tecnico en enfermeria,4381,15.868014053388388,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Enfermera/o,23233,68.66761246083821,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Matrona/on,483,1.4275580776733463,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Medico/a,415,1.22657681622037,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Nutricionista,3847,11.370219306023527,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Otro profesional capacitado en EMP y EMPAM,3586,10.598805934858428,Hombre
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Tecnico en enfermeria,2270,6.7092274043861195,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Enfermera/o,14393,29.242772100205205,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Matrona/on,433,0.8797415632174568,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Medico/a,1054,2.141449440256811,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Nutricionista,3241,6.5848554420041046,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Otro profesional capacitado en EMP y EMPAM,12107,24.59822426298787,Hombre
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,Tecnico en enfermeria,17991,36.55295719132855,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Enfermera/o,15288,42.785178551438484,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Matrona/on,844,2.3620284338967874,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Medico/a,470,1.3153475875965521,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Nutricionista,6069,16.984775551326543,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Otro profesional capacitado en EMP y EMPAM,10780,30.169036158065598,Hombre
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Tecnico en enfermeria,2281,6.383633717676032,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Enfermera/o,22758,59.4669453880324,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Matrona/on,136,0.35536974131173243,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Medico/a,258,0.6741573033707865,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Nutricionista,4583,11.975437679644632,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Otro profesional capacitado en EMP y EMPAM,5608,14.653775803501437,Hombre
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,Tecnico en enfermeria,4927,12.874314084139012,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Enfermera/o,26929,47.20576376958945,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Matrona/on,518,0.908039126319111,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Medico/a,272,0.47680818988184975,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Nutricionista,1058,1.8546436209374892,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Otro profesional capacitado en EMP y EMPAM,516,0.9045331837464502,Hombre
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,Tecnico en enfermeria,27753,48.65021210952565,Hombre
